user_id,Physics_Chapters,Questions_Came_From_Physics,Marks_got_in_physics_chapters,Chemistry_Chapters,Questions_Came_From_Chemistry,Marks_got_in_chemistry_chapters,Mathematics_Chapters,Questions_came_from_mathematics,Marks_got_in_mathematics_chapters,productivity_yes_no,productivity_rate,emotional_factors
6o0p8Zwg3AbvEf14PW34q7ByhHX2,Kinematics,A ball is thrown vertically upward with an initial velocity of 20 m/s. Calculate the maximum height reached by the ball and the total time it takes to return to the thrower's hand (Take g = 9.8 m/s²).,4,Atomic Structure,"Calculate the wavelength of an electron moving with a velocity of 2.2×106?m/s2.2 \times 10^6 \, \text{m/s}2.2×106m/s using the de Broglie equation. (Planck's constant, h=6.63×10?34?Jsh = 6.63 \times 10^{-34} \, \text{Js}h=6.63×10?34Js)",2,"Limits, Continuity, and Differentiability",Evaluate lim?x?0sin?(3x)x\lim_{x \to 0} \frac{\sin(3x)}{x}limx?0?xsin(3x)?.,1,no,5,Emotional Factors
6o0p8Zwg3AbvEf14PW34q7ByhHX3,"Work, Energy, and Power",A 2 kg object is dropped from a height of 5 meters. Calculate the kinetic energy of the object just before it hits the ground (Take g = 9.8 m/s²).,3,Chemical Thermodynamics,"For the reaction C(s)+O2(g)?CO2(g)\text{C}(s) + O_2(g) \rightarrow CO_2(g)C(s)+O2?(g)?CO2?(g), the enthalpy change is -393.5 kJ/mol. Is the reaction exothermic or endothermic? Calculate the amount of heat released when 12 g of carbon is burnt completely.",4,Probability,A bag contains 3 red balls and 5 blue balls. Two balls are drawn randomly. What is the probability that both are red?,4,,,
6o0p8Zwg3AbvEf14PW34q7ByhHX4,Laws of Motion,"A block of mass 5 kg is placed on a rough horizontal surface with a coefficient of friction of 0.4. A horizontal force of 20 N is applied to the block. Will the block move? If yes, calculate the acceleration.",4,Equilibrium,"For the reaction N2(g)+3H2(g)?2NH3(g)\text{N}_2(g) + 3\text{H}_2(g) \rightleftharpoons 2\text{NH}_3(g)N2?(g)+3H2?(g)?2NH3?(g), the equilibrium constant Kc=1.6×103K_c = 1.6 \times 10^3Kc?=1.6×103 at 500 K. If the initial concentration of N2\text{N}_2N2? and H2\text{H}_2H2? are both 1 M, what will be the equilibrium concentration of NH3\text{NH}_3NH3??",1,"Limits, Continuity, and Differentiability",Find the derivative of f(x)=x3?5x2+7x?4f(x) = x^3 - 5x^2 + 7x - 4f(x)=x3?5x2+7x?4 with respect to xxx.,4,,,
6o0p8Zwg3AbvEf14PW34q7ByhHX5,Kinematics,A car starts from rest and accelerates uniformly at a rate of 2 m/s² for 10 seconds. What is the total distance traveled by the car during this time?,2,Chemical Bonding and Molecular Structure,Predict the shape and bond angle of the NH3\text{NH}_3NH3? molecule using the VSEPR theory.,4,Complex Numbers,"If z1=3+4iz_1 = 3 + 4iz1?=3+4i and z2=1?2iz_2 = 1 - 2iz2?=1?2i, find z1×z2z_1 \times z_2z1?×z2?.",2,,,
Vk57diRnDFXevVNklyFWcjKElMk1,Waves and Oscillations,A simple pendulum has a length of 2 meters. Calculate its time period on Earth (Take g = 9.8 m/s²).,4,Chemical Bonding and Molecular Structure,Predict the shape and bond angle of the NH3\text{NH}_3NH3? molecule using the VSEPR theory.,4,Probability,A bag contains 3 red balls and 5 blue balls. Two balls are drawn randomly. What is the probability that both are red?,2,yes,8,Goal not achieved
Vk57diRnDFXevVNklyFWcjKElMk2,Electrostatics,"Two charges, q1 = 2 ?C and q2 = -3 ?C, are placed 0.5 meters apart in a vacuum. Calculate the force between them.",2,Chemical Thermodynamics,"For the reaction C(s)+O2(g)?CO2(g)\text{C}(s) + O_2(g) \rightarrow CO_2(g)C(s)+O2?(g)?CO2?(g), the enthalpy change is -393.5 kJ/mol. Is the reaction exothermic or endothermic? Calculate the amount of heat released when 12 g of carbon is burnt completely.",4,Matrices and Determinants,"If A=(2314)A = \begin{pmatrix} 2 & 3 \\ 1 & 4 \end{pmatrix}A=(21?34?) and B=(1052)B = \begin{pmatrix} 1 & 0 \\ 5 & 2 \end{pmatrix}B=(15?02?), find the product matrix A×BA \times BA×B.",3,,,
Vk57diRnDFXevVNklyFWcjKElMk3,Kinematics,A ball is thrown vertically upward with an initial velocity of 20 m/s. Calculate the maximum height reached by the ball and the total time it takes to return to the thrower's hand (Take g = 9.8 m/s²).,1,Equilibrium,"For the reaction N2(g)+3H2(g)?2NH3(g)\text{N}_2(g) + 3\text{H}_2(g) \rightleftharpoons 2\text{NH}_3(g)N2?(g)+3H2?(g)?2NH3?(g), the equilibrium constant Kc=1.6×103K_c = 1.6 \times 10^3Kc?=1.6×103 at 500 K. If the initial concentration of N2\text{N}_2N2? and H2\text{H}_2H2? are both 1 M, what will be the equilibrium concentration of NH3\text{NH}_3NH3??",1,Complex Numbers,"If z1=3+4iz_1 = 3 + 4iz1?=3+4i and z2=1?2iz_2 = 1 - 2iz2?=1?2i, find z1×z2z_1 \times z_2z1?×z2?.",3,,,
Vk57diRnDFXevVNklyFWcjKElMk4,Laws of Motion,"A block of mass 5 kg is placed on a rough horizontal surface with a coefficient of friction of 0.4. A horizontal force of 20 N is applied to the block. Will the block move? If yes, calculate the acceleration.",4,Organic Chemistry – Some Basic Principles and Techniques,Identify the major product in the reaction of 2-bromo-2-methylpropane with potassium hydroxide (KOH) in ethanol. Is the reaction elimination or substitution?,4,"Limits, Continuity, and Differentiability",Evaluate lim?x?0sin?(3x)x\lim_{x \to 0} \frac{\sin(3x)}{x}limx?0?xsin(3x)?.,4,,,
k80sL0U5EoTBkehsoelmECj96R73,Thermodynamics,Calculate the work done by a gas during an isothermal expansion...,3,Chemical Kinetics,Derive the rate law for a first-order reaction...,3,Probability,What is the probability of drawing two aces from a deck of cards?,4,Yes,7,Stress management
k80sL0U5EoTBkehsoelmECj96R74,Waves,Calculate the frequency of a sound wave traveling through air...,4,Coordination Chemistry,What is the coordination number of Co in [Co(NH3)6]Cl3?,2,Matrices and Determinants,"If A = (3, 2; 1, 4), find the inverse matrix of A...",3,,,
tcpzTzABpRhg1UdCLyYd9qyNEUm2,Gravitation,Calculate the gravitational force between Earth and a satellite...,2,Solid State,Derive the relationship between edge length and density for a cubic structure...,3,Complex Numbers,Solve (2 + 3i)(4 - 5i)...,3,Yes,6,Motivation needed
tcpzTzABpRhg1UdCLyYd9qyNEUm3,Optics,Determine the focal length of a convex lens with radii of curvature...,4,Organic Chemistry,Predict the major product of an aldol condensation reaction...,4,Trigonometry,Solve for ? in the equation sin²(?) + cos²(?) = 1...,2,,,
xuniMXYrIlQrIqzAgs9goewvQTo1,Electromagnetism,Calculate the magnetic field inside a solenoid...,4,Inorganic Chemistry,Identify the oxidation state of Cr in K2Cr2O7...,4,"Limits, Continuity, and Differentiability",Differentiate f(x) = e^x / x³...,4,No,5,Anxiety under pressure
xuniMXYrIlQrIqzAgs9goewvQTo2,Modern Physics,Calculate the energy of a photon with a wavelength of 500 nm...,3,Surface Chemistry,Derive Langmuir's adsorption isotherm...,3,Statistics,"Calculate the mean and variance of a dataset {2, 4, 6, 8, 10}...",3,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
